2024-05-14 17:03:56.504699 ; Session        ; Debug       ; Session log loaded as 'D:\dev\python\py_opentap_project\bin\SessionLogs\tap 2024-05-14 17-03-56.txt'. [2.02 ms]
2024-05-14 17:03:56.512699 ; Session        ; Debug       ; Running '"D:\dev\python\py_opentap_project\bin\tap.exe" package create .\package.xml' in 'D:\dev\python\py_opentap_project'.
2024-05-14 17:03:56.526699 ; AssemblyFinder ; Debug       ; Found 17/57 assembly files. [4.31 ms]
2024-05-14 17:03:56.546699 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\dev\python\py_opentap_project\bin\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-05-14 17:03:56.557699 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\dev\python\py_opentap_project\bin\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-05-14 17:03:56.604699 ; Searcher       ; Debug       ; Ordered 15 assemblies according to references. [51.9 ms]
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found 10 plugin assemblies containing 253 plugin types. [83.4 ms]
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.dll
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Package.dll
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 0.0.0            of Keysight.OpenTap.Licensing.dll
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Plugins.BasicSteps.dll
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 9.23.0+a3027bf1  of Keysight.OpenTap.Wpf.dll
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 9.23.0+a3027bf1  of PackageManager.exe
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 9.23.0+a3027bf1  of Editor.exe
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 3.1.0+73e66d85   of OpenTap.Python.dll
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 1.0.0+54210f36f8055862eaf187153de850b18324ebd5 of py_opentap_pj.Api.dll
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2024-05-14 17:03:56.634699 ; PluginManager  ; Debug       ; Searched 17 Assemblies. [84.6 ms]
2024-05-14 17:03:56.646073 ; AssemblyData   ; Debug       ; Loaded OpenTap. [159 us]
2024-05-14 17:03:56.652043 ; AssemblyData   ; Debug       ; Loaded Keysight.OpenTap.Wpf. [1.59 ms]
2024-05-14 17:03:56.654020 ; AssemblyData   ; Debug       ; Loaded OpenTap.Python. [996 us]
2024-05-14 17:03:56.654020 ; Resolver       ; Debug       ; Found match for Python.Runtime, Version=3.1.0.0, Culture=neutral, PublicKeyToken=5000fea6cba702dd in D:\dev\python\py_opentap_project\bin\Dependencies\Python.Runtime.3.1.0.0\Python.Runtime.dll
2024-05-14 17:03:56.675021 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [1.54 ms]
2024-05-14 17:03:56.675021 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [1.81 ms]
2024-05-14 17:03:56.680021 ; AssemblyData   ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [1.32 ms]
2024-05-14 17:03:56.720020 ; AssemblyData   ; Debug       ; Loaded mscorlib. [300 ns]
2024-05-14 17:03:56.835136 ; Settings       ; Debug       ; PythonSettings loaded from D:\dev\python\py_opentap_project\bin\Settings\Python.xml [168 ms]
2024-05-14 17:03:56.952871 ; Resolver       ; Debug       ; Found match for Keysight.Ccl.Wsl, Version=4.0.1.9, Culture=neutral, PublicKeyToken=55333af07c70062e in D:\dev\python\py_opentap_project\bin\Dependencies\Keysight.Ccl.Wsl.4.0.1.9\Keysight.Ccl.Wsl.dll
2024-05-14 17:03:56.963912 ; Resolver       ; Debug       ; Found match for System.Windows.Interactivity, Version=4.5.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35 in D:\dev\python\py_opentap_project\bin\Dependencies\System.Windows.Interactivity.4.5.0.0\System.Windows.Interactivity.dll
2024-05-14 17:03:57.047980 ; Python         ; Debug       ; Loaded Python Version 3.12.3 (tags/v3.12.3:f6650f9, Apr  9 2024, 14:05:25) [MSC v.1938 64 bit (AMD64)] from 'C:\Users\Satreci\AppData\Local\Programs\Python\Python312'.
2024-05-14 17:03:57.142979 ; Python         ; Debug       ; Loading: PythonExamples.BasicDut
2024-05-14 17:03:57.152980 ; AssemblyData   ; Debug       ; Loaded . [500 ns]
2024-05-14 17:03:57.153979 ; AssemblyData   ; Debug       ; Loaded . [100 ns]
2024-05-14 17:03:57.153979 ; AssemblyData   ; Debug       ; Loaded . [0 ns]
2024-05-14 17:03:57.153979 ; AssemblyData   ; Debug       ; Loaded . [0 ns]
2024-05-14 17:03:57.153979 ; AssemblyData   ; Debug       ; Loaded . [0 ns]
2024-05-14 17:03:57.153979 ; AssemblyData   ; Debug       ; Loaded . [100 ns]
2024-05-14 17:03:57.153979 ; Python         ; Debug       ; Loading: PythonExamples.BasicFunctionality
2024-05-14 17:03:57.169979 ; AssemblyData   ; Debug       ; Loaded . [100 ns]
2024-05-14 17:03:57.169979 ; AssemblyData   ; Debug       ; Loaded . [100 ns]
2024-05-14 17:03:57.169979 ; AssemblyData   ; Debug       ; Loaded . [0 ns]
2024-05-14 17:03:57.169979 ; Python         ; Debug       ; Loading: PythonExamples.BasicInstrument
2024-05-14 17:03:57.169979 ; Python         ; Debug       ; Loading: PythonExamples.BasicScpiInstrument
2024-05-14 17:03:57.171980 ; AssemblyData   ; Debug       ; Loaded . [200 ns]
2024-05-14 17:03:57.171980 ; Python         ; Debug       ; Loading: PythonExamples.BasicSettings
