2024-05-14 17:02:46.975293 ; Session        ; Debug       ; Session log loaded as 'D:\dev\python\py_opentap_project\bin\SessionLogs\dotnet.22272 2024-05-14 17-02-46.txt'. [2.26 ms]
2024-05-14 17:02:46.979583 ; Session        ; Debug       ; Running '"C:\Program Files\dotnet\sdk\8.0.204\dotnet.dll" build' in 'D:\dev\python\py_opentap_project\py_opentap_pj.Api'.
2024-05-14 17:02:46.991372 ; AssemblyFinder ; Debug       ; Found 5/26 assembly files. [2.38 ms]
2024-05-14 17:02:47.000201 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [7.99 ms]
2024-05-14 17:02:47.008358 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 175 plugin types. [16.3 ms]
2024-05-14 17:02:47.008632 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.dll from C:\Users\Satreci\.nuget\packages\opentap\9.23.2\build\payload\OpenTap.dll
2024-05-14 17:02:47.008641 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Package.dll from C:\Users\Satreci\.nuget\packages\opentap\9.23.2\build\payload\OpenTap.Package.dll
2024-05-14 17:02:47.008645 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Plugins.BasicSteps.dll from C:\Users\Satreci\.nuget\packages\opentap\9.23.2\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2024-05-14 17:02:47.008652 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [16.9 ms]
2024-05-14 17:02:47.012280 ; AssemblyData   ; Debug       ; Loaded OpenTap. [212 us]
2024-05-14 17:02:47.012321 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [256 us]
2024-05-14 17:02:47.012581 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [510 us]
2024-05-14 17:02:47.032779 ; AssemblyData   ; Debug       ; Loaded System.Private.CoreLib. [300 ns]
2024-05-14 17:02:47.108944 ; Resolver       ; Debug       ; Found match for OpenTap.Repository.Client, Version=4.17.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\Satreci\.nuget\packages\opentap\9.23.2\build\payload\Dependencies\OpenTap.Repository.Client.4.17.0.0\OpenTap.Repository.Client.dll
2024-05-14 17:02:47.111747 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [116 us]
2024-05-14 17:02:47.112832 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [276 us]
2024-05-14 17:02:47.166687 ; FilePackageRepository ; Debug       ; Rebuilding cache: .PackageCache.DC126603.23.xml [45.7 ms]
