2024-05-14 16:38:52.287194 ; Session        ; Debug       ; Session log loaded as 'C:\Users\sangilkim\Documents\keysight\py_opentap_project\bin\SessionLogs\tap 2024-05-14 16-38-51.txt'. [13.4 ms]
2024-05-14 16:38:52.316319 ; Session        ; Debug       ; Running '.\tap  python search-path --add .. ' in 'C:\Users\sangilkim\Documents\keysight\py_opentap_project\bin'.
2024-05-14 16:38:52.368194 ; AssemblyFinder ; Debug       ; Found 17/57 assembly files. [16.8 ms]
2024-05-14 16:38:52.399193 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\sangilkim\Documents\keysight\py_opentap_project\bin\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2024-05-14 16:38:52.453201 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\sangilkim\Documents\keysight\py_opentap_project\bin\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2024-05-14 16:38:52.949319 ; Searcher       ; Debug       ; Ordered 15 assemblies according to references. [526 ms]
2024-05-14 16:38:53.045202 ; PluginManager  ; Debug       ; Found 10 plugin assemblies containing 253 plugin types. [626 ms]
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.dll
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Package.dll
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 0.0.0            of Keysight.OpenTap.Licensing.dll
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 9.23.2+5a906a86  of OpenTap.Plugins.BasicSteps.dll
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 9.23.0+a3027bf1  of Keysight.OpenTap.Wpf.dll
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 9.23.0+a3027bf1  of PackageManager.exe
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 9.23.0+a3027bf1  of Editor.exe
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 3.1.0+73e66d85   of OpenTap.Python.dll
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 1.0.0            of py_opentap_pj.Api.dll
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2024-05-14 16:38:53.046196 ; PluginManager  ; Debug       ; Searched 17 Assemblies. [630 ms]
2024-05-14 16:38:53.059192 ; AssemblyData   ; Debug       ; Loaded OpenTap. [783 us]
2024-05-14 16:38:53.077447 ; AssemblyData   ; Debug       ; Loaded Keysight.OpenTap.Wpf. [4.99 ms]
2024-05-14 16:38:53.086193 ; AssemblyData   ; Debug       ; Loaded OpenTap.Python. [4.65 ms]
2024-05-14 16:38:53.094467 ; Resolver       ; Debug       ; Found match for Python.Runtime, Version=3.1.0.0, Culture=neutral, PublicKeyToken=5000fea6cba702dd in C:\Users\sangilkim\Documents\keysight\py_opentap_project\bin\Dependencies\Python.Runtime.3.1.0.0\Python.Runtime.dll
2024-05-14 16:38:53.169205 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [5.13 ms]
2024-05-14 16:38:53.169205 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [5.36 ms]
2024-05-14 16:38:53.187194 ; AssemblyData   ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [4.57 ms]
2024-05-14 16:38:53.315376 ; AssemblyData   ; Debug       ; Loaded mscorlib. [1.20 us]
2024-05-14 16:38:53.592412 ; Settings       ; Debug       ; PythonSettings loaded from C:\Users\sangilkim\Documents\keysight\py_opentap_project\bin\Settings\Python.xml [448 ms]
2024-05-14 16:38:53.865502 ; Resolver       ; Debug       ; Found match for Keysight.Ccl.Wsl, Version=4.0.1.9, Culture=neutral, PublicKeyToken=55333af07c70062e in C:\Users\sangilkim\Documents\keysight\py_opentap_project\bin\Dependencies\Keysight.Ccl.Wsl.4.0.1.9\Keysight.Ccl.Wsl.dll
